iter	RMSE
0	16.53461368
1	16.22747391
2	15.98397069
3	15.68576446
4	15.41215752
5	15.13804502
6	14.87568418
7	14.63729488
8	14.38436665
9	14.14128426
10	13.89589955
11	13.68626623
12	13.47255656
13	13.25382951
14	13.028462
15	12.81913596
16	12.62341082
17	12.42585058
18	12.23856866
19	12.07624158
20	11.89094156
21	11.72008534
22	11.55134219
23	11.38752659
24	11.24452807
25	11.0963697
26	10.94088522
27	10.79831641
28	10.64254827
29	10.49369204
30	10.35274831
31	10.20948756
32	10.07327071
33	9.955073802
34	9.817942397
35	9.691636063
36	9.565953896
37	9.447190905
38	9.324313541
39	9.223227809
40	9.095424906
41	8.994868663
42	8.894487816
43	8.783924992
44	8.690827331
45	8.586368617
46	8.489365818
47	8.397985608
48	8.302653392
49	8.228492091
50	8.149096519
51	8.07861103
52	7.999175048
53	7.923107434
54	7.854228255
55	7.770868625
56	7.707542741
57	7.634587772
58	7.559610705
59	7.497244034
60	7.421369927
61	7.358160159
62	7.296069719
63	7.246946249
64	7.184981194
65	7.128171138
66	7.066390802
67	7.0067371
68	6.957431337
69	6.914646737
70	6.865990462
71	6.812708858
72	6.758264903
73	6.705004401
74	6.659443755
75	6.610677891
76	6.566528553
77	6.532857703
78	6.491350967
79	6.454147535
80	6.415441022
81	6.382303164
82	6.338854509
83	6.303618464
84	6.259546592
85	6.225181562
86	6.195692327
87	6.168911706
88	6.13486877
89	6.100951624
90	6.068050064
91	6.030522055
92	5.996160897
93	5.968522963
94	5.932019982
95	5.905470503
96	5.884316688
97	5.858660566
98	5.829503285
99	5.796011853
100	5.764214953
101	5.739213335
102	5.720083886
103	5.696217669
104	5.669551733
105	5.647809655
106	5.621252814
107	5.601547436
108	5.577079324
109	5.553917912
110	5.534899787
111	5.517363296
112	5.496669969
113	5.474721095
114	5.455257837
115	5.430280416
116	5.411587584
117	5.388808221
118	5.375411955
119	5.356952272
120	5.334694449
121	5.325628732
122	5.302713327
123	5.285873457
124	5.264704154
125	5.242352641
126	5.221954378
127	5.200603051
128	5.181143616
129	5.162955968
130	5.148701081
131	5.135547977
132	5.119855036
133	5.101900454
134	5.084441927
135	5.067576547
136	5.052325792
137	5.03488339
138	5.020169497
139	5.004407054
140	4.991558159
141	4.97664139
142	4.963855775
143	4.951428573
144	4.939729222
145	4.922086738
146	4.909436897
147	4.892623744
148	4.878704785
149	4.867403664
150	4.860237124
151	4.853180906
152	4.842659056
153	4.829514953
154	4.814843408
155	4.804567728
156	4.792480058
157	4.777440062
158	4.76658248
159	4.755135469
160	4.741664748
161	4.730737789
162	4.721847908
163	4.711266032
164	4.705449156
165	4.69538022
166	4.683476617
167	4.675002887
168	4.661496833
169	4.653241008
170	4.640211375
171	4.629546696
172	4.621347975
173	4.609410101
174	4.598427753
175	4.590039317
176	4.578998445
177	4.569927567
178	4.554949237
179	4.543886004
180	4.535307446
181	4.528039599
182	4.518272919
183	4.505645472
184	4.498738499
185	4.491083613
186	4.479633698
187	4.471158778
188	4.46090727
189	4.453947179
190	4.446106104
191	4.440206393
192	4.430507548
193	4.423814759
194	4.417672936
195	4.407582987
196	4.398918557
197	4.391991305
198	4.381928168
199	4.370545697
200	4.360034407
201	4.353745917
202	4.350222936
203	4.342078592
204	4.333776068
205	4.32469128
206	4.317074594
207	4.310732852
208	4.303412106
209	4.29387293
210	4.286758756
211	4.277779934
212	4.267577249
213	4.258007841
214	4.248247069
215	4.241736708
216	4.228738439
217	4.222303919
218	4.213327422
219	4.201636379
220	4.195804244
221	4.190830885
222	4.183252971
223	4.173534868
224	4.167956386
225	4.157245783
226	4.151203642
227	4.144251456
228	4.139852733
229	4.133781594
230	4.128246298
231	4.119422906
232	4.109901345
233	4.10481737
234	4.101948037
235	4.095058788
236	4.083786893
237	4.078742273
238	4.072198604
239	4.06880746
240	4.063025384
241	4.058199897
242	4.051184827
243	4.045414351
244	4.039879907
245	4.035096241
246	4.026685044
247	4.021478897
248	4.017309401
249	4.015064089
250	4.008449937
251	4.004774524
252	4.001415917
253	3.994023918
254	3.990449999
255	3.982206502
256	3.97159302
257	3.965181336
258	3.959871905
259	3.956543603
260	3.950229216
261	3.94489264
262	3.939339556
263	3.933764806
264	3.927788221
265	3.922243537
266	3.916357401
267	3.913577016
268	3.9077909
269	3.900420652
270	3.897800137
271	3.892170431
272	3.889122297
273	3.884820747
274	3.88177103
275	3.872595591
276	3.869090796
277	3.862192733
278	3.857639528
279	3.852873948
280	3.845503515
281	3.842649695
282	3.836787222
283	3.829377499
284	3.824597693
285	3.820624692
286	3.812486107
287	3.808106076
288	3.806193406
289	3.7990965
290	3.797162056
291	3.791535257
292	3.780922735
293	3.77706166
294	3.773181963
295	3.76738906
296	3.760183535
297	3.754801065
298	3.744981443
299	3.736700652
300	3.732713836
301	3.724654535
302	3.720481075
303	3.715474456
304	3.709189627
305	3.706491032
306	3.698716166
307	3.6962359
308	3.690534043
309	3.688364253
310	3.682333615
311	3.678938428
312	3.675857243
313	3.673320492
314	3.66932617
315	3.667422452
316	3.665211841
317	3.658990567
318	3.655834058
319	3.653533846
320	3.645423952
321	3.639591834
322	3.635530839
323	3.630015213
324	3.62451988
325	3.618504393
326	3.608846628
327	3.606907331
328	3.602635353
329	3.597647079
330	3.591191676
331	3.588610064
332	3.586668278
333	3.584321102
334	3.576712791
335	3.573589991
336	3.568029302
337	3.559858674
338	3.556417611
339	3.548659535
340	3.54075495
341	3.534007568
342	3.526646993
343	3.521485722
344	3.517527976
345	3.512168077
346	3.509964589
347	3.501664484
348	3.498475258
349	3.494146978
350	3.488389043
351	3.485910423
352	3.477779563
353	3.474226276
354	3.468713831
355	3.466335486
356	3.460989713
357	3.459129818
358	3.452653045
359	3.450436888
360	3.445724155
361	3.440155111
362	3.435042057
363	3.430449964
364	3.4248348
365	3.417710498
366	3.415628089
367	3.411691285
368	3.406609382
369	3.402015199
370	3.397984467
371	3.394483093
372	3.392278539
373	3.389879442
374	3.387188085
375	3.382965936
376	3.380364281
377	3.374247071
378	3.370488047
379	3.366056568
380	3.360942127
381	3.359009699
382	3.357728625
383	3.354636239
384	3.34999637
385	3.344471602
386	3.337488666
387	3.332259283
388	3.328650996
389	3.324227548
390	3.320099124
391	3.314363924
392	3.312421489
393	3.30815044
394	3.305212223
395	3.301649667
396	3.299480247
397	3.296071464
398	3.293063747
399	3.291554374
400	3.288449188
401	3.284851669
402	3.280940703
403	3.276409149
404	3.273871587
405	3.271963898
406	3.269268221
407	3.262255712
408	3.256568528
409	3.25156718
410	3.247073739
411	3.240835521
412	3.236780207
413	3.233462958
414	3.226705854
415	3.223671799
416	3.221173645
417	3.219057681
418	3.215498512
419	3.211359476
420	3.208298789
421	3.203985965
422	3.200795203
423	3.194284917
424	3.189943447
425	3.189454238
426	3.186583036
427	3.183746816
428	3.17904291
429	3.173168432
430	3.170405446
431	3.165299358
432	3.164801125
433	3.162263261
434	3.158315154
435	3.154857331
436	3.150006355
437	3.148323375
438	3.145780681
439	3.142036599
440	3.138206103
441	3.136204944
442	3.133616357
443	3.129511619
444	3.125969092
445	3.123580865
446	3.120738103
447	3.116357763
448	3.111609408
449	3.106350894
450	3.102076999
451	3.098644937
452	3.094732005
453	3.091109803
454	3.087321312
455	3.085424057
456	3.08377192
457	3.083330159
458	3.081687765
459	3.078608388
460	3.075577241
461	3.072167071
462	3.067020887
463	3.064243175
464	3.061400647
465	3.058268314
466	3.054190351
467	3.050796719
468	3.047493486
469	3.044213102
470	3.039884991
471	3.036431423
472	3.035158148
473	3.032879983
474	3.027589449
475	3.022881778
476	3.019724609
477	3.014867714
478	3.011245605
479	3.00901499
480	3.007773572
481	3.0066059
482	3.004140745
483	3.00206644
484	3.001658847
485	2.998454125
486	2.99510738
487	2.994695716
488	2.991322975
489	2.988360709
490	2.983473259
491	2.98305538
492	2.978210119
493	2.975875127
494	2.973417507
495	2.968456463
496	2.967918275
497	2.965827472
498	2.962816413
499	2.959886745
500	2.959320269
501	2.958046132
502	2.954848698
503	2.952667976
504	2.950315506
505	2.948191236
506	2.947845659
507	2.943864447
508	2.940844662
509	2.937301308
510	2.934885308
511	2.934572099
512	2.929597188
513	2.926957615
514	2.924625639
515	2.921557237
516	2.918145776
517	2.914593553
518	2.911692287
519	2.90913808
520	2.908783664
521	2.906510003
522	2.904762627
523	2.901800404
524	2.897790838
525	2.895052716
526	2.893094548
527	2.890953208
528	2.889610101
529	2.886290464
530	2.884000732
531	2.878283758
532	2.874708865
533	2.874177301
534	2.871481165
535	2.868710519
536	2.864095873
537	2.859967716
538	2.859558361
539	2.85510048
540	2.854779212
541	2.850439084
542	2.847294749
543	2.844768866
544	2.844438916
545	2.841374738
546	2.837270685
547	2.836959832
548	2.836555651
549	2.834666318
550	2.831311132
551	2.829019732
552	2.825322681
553	2.82365945
554	2.821464794
555	2.818006794
556	2.813711641
557	2.810658602
558	2.808065704
559	2.807768139
560	2.805503445
561	2.80292763
562	2.798810383
563	2.797048393
564	2.794189547
565	2.790835673
566	2.789010604
567	2.786558475
568	2.786276945
569	2.783264535
570	2.780174236
571	2.777507022
572	2.77522355
573	2.773169108
574	2.770589518
575	2.767383867
576	2.764284191
577	2.762659647
578	2.760246384
579	2.756640438
580	2.752775704
581	2.751118788
582	2.749023621
583	2.746923828
584	2.744548898
585	2.740474151
586	2.738240747
587	2.736307022
588	2.734220709
589	2.731577542
590	2.728941817
591	2.725367125
592	2.725093716
593	2.722919617
594	2.719246933
595	2.719012335
596	2.717794485
597	2.717367565
598	2.71570858
599	2.711382113
600	2.707436433
601	2.704136375
602	2.702123253
603	2.700555462
604	2.69736563
605	2.695603543
606	2.694159385
607	2.692177544
608	2.688204526
609	2.687957667
610	2.686015805
611	2.683897214
612	2.681805028
613	2.679914336
614	2.677378467
615	2.675219807
616	2.671484607
617	2.669616106
618	2.666361163
619	2.664234203
620	2.662114928
621	2.658905498
622	2.656106342
623	2.652445055
624	2.650644953
625	2.649704323
626	2.64699888
627	2.645838378
628	2.64407383
629	2.642374487
630	2.640168975
631	2.637529685
632	2.635025103
633	2.632977761
634	2.630593254
635	2.629199596
636	2.625879762
637	2.624397305
638	2.624202794
639	2.622804042
640	2.620459908
641	2.618968509
642	2.615825194
643	2.612607014
644	2.60977145
645	2.609511776
646	2.608202609
647	2.607427703
648	2.605645948
