iter	Passed	Remaining
0	3	3541
1	7	3188
2	10	3029
3	13	3001
4	16	2979
5	19	2951
6	23	2939
7	26	2931
8	29	2925
9	32	2906
10	35	2889
11	38	2838
12	40	2785
13	43	2744
14	46	2728
15	48	2665
16	50	2608
17	52	2553
18	53	2497
19	55	2459
20	57	2412
21	59	2367
22	60	2324
23	62	2282
24	64	2246
25	65	2213
26	67	2182
27	69	2153
28	70	2124
29	72	2102
30	74	2084
31	76	2063
32	77	2041
33	79	2021
34	81	2005
35	82	1989
36	84	1970
37	86	1954
38	87	1942
39	89	1927
40	91	1916
41	93	1904
42	94	1891
43	96	1878
44	98	1866
45	99	1854
46	101	1844
47	103	1833
48	105	1825
49	106	1815
50	108	1805
51	110	1794
52	111	1785
53	113	1776
54	115	1768
55	117	1771
56	119	1772
57	121	1764
58	123	1756
59	124	1747
60	126	1738
61	128	1732
62	129	1724
63	132	1727
64	134	1729
65	136	1721
66	137	1714
67	139	1706
68	141	1699
69	142	1692
70	144	1685
71	146	1680
72	147	1673
73	149	1667
74	151	1661
75	152	1655
76	155	1656
77	156	1651
78	158	1645
79	160	1640
80	165	1669
81	168	1677
82	170	1676
83	172	1675
84	174	1674
85	177	1675
86	179	1674
87	180	1668
88	182	1662
89	184	1657
90	185	1651
91	187	1645
92	189	1641
93	190	1636
94	192	1631
95	194	1626
96	195	1621
97	197	1616
98	199	1610
99	200	1606
100	202	1601
101	204	1597
102	205	1593
103	207	1588
104	209	1584
105	210	1579
106	212	1575
107	214	1571
108	215	1567
109	217	1563
110	219	1558
111	220	1554
112	222	1550
113	224	1545
114	225	1542
115	227	1538
116	229	1536
117	231	1533
118	233	1529
119	234	1525
120	236	1521
121	237	1511
122	238	1508
123	240	1504
124	242	1500
125	244	1499
126	245	1495
127	247	1491
128	248	1487
129	250	1484
130	252	1480
131	253	1477
132	255	1474
133	257	1471
134	259	1467
135	260	1464
136	262	1460
137	263	1456
138	265	1453
139	267	1449
140	268	1446
141	270	1443
142	272	1441
143	273	1438
144	275	1435
145	277	1432
146	278	1428
147	280	1425
148	282	1422
149	283	1419
150	285	1415
151	287	1413
152	288	1409
153	290	1406
154	292	1403
155	293	1400
156	295	1397
157	297	1395
158	298	1392
159	300	1389
160	302	1387
161	303	1384
162	305	1380
163	307	1377
164	308	1375
165	310	1372
166	312	1369
167	313	1366
168	315	1364
169	317	1361
170	318	1358
171	320	1356
172	322	1353
173	323	1350
174	325	1347
175	326	1344
176	328	1342
177	330	1339
178	331	1336
179	333	1334
180	335	1331
181	336	1329
182	338	1326
183	340	1324
184	341	1321
185	343	1318
186	345	1316
187	347	1314
188	348	1311
189	350	1308
190	351	1306
191	353	1303
192	355	1301
193	356	1298
194	358	1296
195	360	1296
196	362	1293
197	364	1291
198	365	1288
199	367	1286
200	369	1283
201	370	1281
202	372	1278
